trip_start,trip_stop,dist
2017-04-01 17:42:00,2017-04-01 18:34:00,1.95
2017-04-01 18:42:00,2017-04-01 19:05:00,6.54
2017-04-02 01:09:00,2017-04-02 01:12:00,1.07
2017-04-02 01:22:00,2017-04-02 01:27:00,1.03
2017-04-02 08:17:00,2017-04-02 08:23:00,1.98
2017-04-02 11:23:00,2017-04-02 11:30:00,1.98
2017-04-02 15:44:00,2017-04-02 15:56:00,4.15
2017-04-02 16:29:00,2017-04-02 16:45:00,4.08
2017-04-03 10:24:00,2017-04-03 10:55:00,19.76
2017-04-03 14:01:00,2017-04-03 14:18:00,8.21
2017-04-03 14:25:00,2017-04-03 14:31:00,1.49
2017-04-03 14:45:00,2017-04-03 14:50:00,1.59
2017-04-03 15:44:00,2017-04-03 16:10:00,4.44
2017-04-03 16:14:00,2017-04-03 16:37:00,9.96
2017-04-03 16:40:00,2017-04-03 16:45:00,0.7
2017-04-03 17:15:00,2017-04-03 17:46:00,16.92
2017-04-03 17:56:00,2017-04-03 18:19:00,5.23
2017-04-03 18:42:00,2017-04-03 18:45:00,0.49
2017-04-03 19:02:00,2017-04-03 19:04:00,0.48
2017-04-04 07:24:00,2017-04-04 07:27:00,0.66
2017-04-04 07:30:00,2017-04-04 08:04:00,13.55
2017-04-04 08:32:00,2017-04-04 09:25:00,25.09
2017-04-04 13:32:00,2017-04-04 13:40:00,3.06
2017-04-04 13:52:00,2017-04-04 13:57:00,1.3
2017-04-04 14:55:00,2017-04-04 15:01:00,2.47
2017-04-04 18:40:00,2017-04-04 19:12:00,22.71
2017-04-04 22:16:00,2017-04-04 23:54:00,38.28
2017-04-04 23:59:00,2017-04-05 00:03:00,1.02
2017-04-05 11:04:00,2017-04-05 11:49:00,25.73
2017-04-05 12:05:00,2017-04-05 12:18:00,2.97
2017-04-05 15:19:00,2017-04-05 16:25:00,25.13
2017-04-05 16:38:00,2017-04-05 16:40:00,0.41
2017-04-05 18:58:00,2017-04-05 19:02:00,1.25
2017-04-05 19:13:00,2017-04-05 19:18:00,1.09
2017-04-05 19:25:00,2017-04-05 19:48:00,6.63
2017-04-06 10:01:00,2017-04-06 10:44:00,20.81
2017-04-06 13:22:00,2017-04-06 13:33:00,1.63
2017-04-06 20:58:00,2017-04-06 21:25:00,24.85
2017-04-06 21:32:00,2017-04-06 21:56:00,6.06
2017-04-07 10:55:00,2017-04-07 11:37:00,24.53
2017-04-07 17:14:00,2017-04-07 17:48:00,19.66
2017-04-07 17:57:00,2017-04-07 18:07:00,2.12
2017-04-08 20:57:00,2017-04-08 21:06:00,1.06
2017-04-08 21:23:00,2017-04-08 21:36:00,2.97
2017-04-09 08:14:00,2017-04-09 08:19:00,1.99
2017-04-09 11:40:00,2017-04-09 11:50:00,2.24
2017-04-09 11:50:00,2017-04-09 11:57:00,1.64
2017-04-09 16:29:00,2017-04-09 16:34:00,0.53
2017-04-09 16:43:00,2017-04-09 16:45:00,0.5
2017-04-09 17:46:00,2017-04-09 17:48:00,0.44
2017-04-09 17:53:00,2017-04-09 17:56:00,0.4
2017-04-09 21:33:00,2017-04-09 21:56:00,2.48
2017-04-09 21:57:00,2017-04-09 22:14:00,2.92
2017-04-09 22:22:00,2017-04-09 22:25:00,0.9
2017-04-10 10:37:00,2017-04-10 11:22:00,19.27
2017-04-10 16:12:00,2017-04-10 16:59:00,21.31
2017-04-11 11:14:00,2017-04-11 11:18:00,1.24
2017-04-11 11:21:00,2017-04-11 11:48:00,22.95
2017-04-11 18:24:00,2017-04-11 19:05:00,28.64
2017-04-11 19:21:00,2017-04-11 19:34:00,5.37
2017-04-12 11:00:00,2017-04-12 12:08:00,28.91
2017-04-12 14:03:00,2017-04-12 15:20:00,28.56
2017-04-12 20:24:00,2017-04-12 20:29:00,1.17
2017-04-12 20:32:00,2017-04-12 21:09:00,30.89
2017-04-13 01:37:00,2017-04-13 02:09:00,32.3
2017-04-13 08:08:00,2017-04-13 08:39:00,19.39
2017-04-13 10:53:00,2017-04-13 11:23:00,24.59
2017-04-13 18:56:00,2017-04-13 19:22:00,22.74
2017-04-14 01:06:00,2017-04-14 01:37:00,31.36
2017-04-14 01:48:00,2017-04-14 01:51:00,1.03
2017-04-14 12:08:00,2017-04-14 12:22:00,1.94
2017-04-14 12:29:00,2017-04-14 13:01:00,19.07
2017-04-14 16:17:00,2017-04-14 17:03:00,19.74
2017-04-14 17:05:00,2017-04-14 17:32:00,3.99
2017-04-14 21:57:00,2017-04-14 22:02:00,1.98
2017-04-15 01:46:00,2017-04-15 01:49:00,1.07
2017-04-15 01:56:00,2017-04-15 01:58:00,1.03
2017-04-15 07:13:00,2017-04-15 07:15:00,0.45
2017-04-15 07:19:00,2017-04-15 07:21:00,0.41
2017-04-15 15:54:00,2017-04-15 16:05:00,1.94
2017-04-15 22:23:00,2017-04-15 22:26:00,0.86
2017-04-15 22:46:00,2017-04-15 22:47:00,0.25
2017-04-15 22:51:00,2017-04-15 22:53:00,0.71
2017-04-16 11:35:00,2017-04-16 11:54:00,11.4
2017-04-16 11:58:00,2017-04-16 12:15:00,10.43
2017-04-17 10:44:00,2017-04-17 10:53:00,3.04
2017-04-17 10:55:00,2017-04-17 11:22:00,18.26
2017-04-17 18:09:00,2017-04-17 18:12:00,0.85
2017-04-17 18:21:00,2017-04-17 19:07:00,37.22
2017-04-18 02:07:00,2017-04-18 02:47:00,32.41
2017-04-18 10:55:00,2017-04-18 10:57:00,0.41
2017-04-18 11:02:00,2017-04-18 11:12:00,2.3
2017-04-18 11:15:00,2017-04-18 11:52:00,24.05
2017-04-18 16:59:00,2017-04-18 17:55:00,22.66
2017-04-19 00:46:00,2017-04-19 01:35:00,39.25
2017-04-19 10:57:00,2017-04-19 11:44:00,24.06
2017-04-19 13:23:00,2017-04-19 14:10:00,25.96
2017-04-19 16:21:00,2017-04-19 17:07:00,18.05
2017-04-19 23:32:00,2017-04-20 00:19:00,39.67
2017-04-20 10:47:00,2017-04-20 11:13:00,24.07
2017-04-20 16:21:00,2017-04-20 16:30:00,0.86
2017-04-20 16:36:00,2017-04-20 16:58:00,0.85
2017-04-20 17:41:00,2017-04-20 17:44:00,0.37
2017-04-20 17:49:00,2017-04-20 18:40:00,19.32
2017-04-20 22:22:00,2017-04-20 22:53:00,29.2
2017-04-20 23:07:00,2017-04-20 23:27:00,10.94
2017-04-21 08:29:00,2017-04-21 08:40:00,1.91
2017-04-21 11:30:00,2017-04-21 11:32:00,0.42
2017-04-21 11:38:00,2017-04-21 11:40:00,0.4
2017-04-21 11:42:00,2017-04-21 12:15:00,19.09
2017-04-21 16:50:00,2017-04-21 18:17:00,40.61
2017-04-21 18:55:00,2017-04-21 19:11:00,1.73
2017-04-21 22:20:00,2017-04-21 22:53:00,28.26
2017-04-21 23:01:00,2017-04-21 23:22:00,11.76
2017-04-22 08:56:00,2017-04-22 08:58:00,0.63
2017-04-22 09:04:00,2017-04-22 09:08:00,0.3
2017-04-22 09:12:00,2017-04-22 09:15:00,0.42
2017-04-22 16:48:00,2017-04-22 16:52:00,0.54
2017-04-22 17:06:00,2017-04-22 17:09:00,0.51
2017-04-22 17:10:00,2017-04-22 17:13:00,1.03
2017-04-22 17:22:00,2017-04-22 17:27:00,1.1
2017-04-23 08:13:00,2017-04-23 08:15:00,0.41
2017-04-23 08:19:00,2017-04-23 08:20:00,0.4
2017-04-23 08:21:00,2017-04-23 08:25:00,1.99
2017-04-23 11:41:00,2017-04-23 11:48:00,2.04
2017-04-23 12:35:00,2017-04-23 12:50:00,7.59
2017-04-23 14:08:00,2017-04-23 14:21:00,7.31
2017-04-23 14:33:00,2017-04-23 15:38:00,37.6
2017-04-24 00:26:00,2017-04-24 01:18:00,39.21
2017-04-24 10:24:00,2017-04-24 10:26:00,0.41
2017-04-24 10:31:00,2017-04-24 10:35:00,1.37
2017-04-24 10:38:00,2017-04-24 10:43:00,1.19
2017-04-24 10:49:00,2017-04-24 11:15:00,19.58
2017-04-24 17:13:00,2017-04-24 18:20:00,37.42
2017-04-24 19:02:00,2017-04-24 19:08:00,1.76
2017-04-24 19:49:00,2017-04-24 19:55:00,1.79
2017-04-24 20:41:00,2017-04-24 21:16:00,32.31
2017-04-25 10:53:00,2017-04-25 11:25:00,24.83
2017-04-25 15:15:00,2017-04-25 15:24:00,3.07
2017-04-25 15:30:00,2017-04-25 15:40:00,3.01
2017-04-25 17:34:00,2017-04-25 18:18:00,24.8
2017-04-26 09:59:00,2017-04-26 10:28:00,24.05
2017-04-26 12:56:00,2017-04-26 13:40:00,29.13
2017-04-26 14:37:00,2017-04-26 15:34:00,21
2017-04-27 08:57:00,2017-04-27 10:21:00,40.56
2017-04-27 16:12:00,2017-04-27 16:44:00,9.89
2017-04-27 17:09:00,2017-04-27 18:01:00,17.51
2017-04-28 05:18:00,2017-04-28 06:06:00,39.28
2017-04-28 12:57:00,2017-04-28 13:52:00,35.82
2017-04-28 16:48:00,2017-04-28 18:14:00,39.1
2017-05-01 11:41:00,2017-05-01 12:20:00,18.74
2017-05-01 18:53:00,2017-05-01 19:34:00,37.15
2017-05-01 23:08:00,2017-05-01 23:09:00,0.06
2017-05-01 23:18:00,2017-05-02 00:11:00,38.61
2017-05-02 11:05:00,2017-05-02 11:42:00,24.07
2017-05-02 17:34:00,2017-05-02 18:53:00,26.42
2017-05-03 12:13:00,2017-05-03 12:25:00,3.96
2017-05-03 12:25:00,2017-05-03 12:56:00,21.15
2017-05-03 13:26:00,2017-05-03 13:44:00,3.32
2017-05-03 13:57:00,2017-05-03 14:08:00,3.49
2017-05-03 18:39:00,2017-05-03 19:08:00,24.85
2017-05-03 19:09:00,2017-05-03 19:13:00,0.99
2017-05-03 19:29:00,2017-05-03 19:32:00,0.84
2017-05-04 10:38:00,2017-05-04 11:06:00,24.05
2017-05-04 13:34:00,2017-05-04 14:10:00,1.73
2017-05-04 17:14:00,2017-05-04 18:23:00,24.68
2017-05-05 20:38:00,2017-05-05 20:52:00,2.24
2017-05-06 11:45:00,2017-05-06 12:30:00,20.19
2017-05-06 14:36:00,2017-05-06 15:35:00,14.49
2017-05-06 15:48:00,2017-05-06 16:17:00,5.25
2017-05-06 17:11:00,2017-05-06 17:13:00,0.43
2017-05-06 17:19:00,2017-05-06 17:21:00,0.43
2017-05-07 08:16:00,2017-05-07 08:22:00,3.27
2017-05-07 12:09:00,2017-05-07 12:16:00,2.01
2017-05-07 17:28:00,2017-05-07 17:50:00,10.36
2017-05-07 17:54:00,2017-05-07 18:01:00,1.19
2017-05-07 18:02:00,2017-05-07 18:35:00,28.31
2017-05-07 21:48:00,2017-05-07 21:52:00,1.46
2017-05-07 22:01:00,2017-05-07 22:05:00,1.37
2017-05-08 00:59:00,2017-05-08 02:19:00,39.23
2017-05-08 11:30:00,2017-05-08 11:58:00,22.55
2017-05-08 18:08:00,2017-05-08 18:30:00,10.47
2017-05-08 18:33:00,2017-05-08 19:09:00,28.44
2017-05-08 22:25:00,2017-05-08 23:09:00,38.65
2017-05-08 23:14:00,2017-05-08 23:17:00,1.04
2017-05-09 11:35:00,2017-05-09 12:19:00,23.99
2017-05-09 17:57:00,2017-05-09 18:59:00,29.38
2017-05-09 20:03:00,2017-05-09 20:13:00,1.9
2017-05-10 10:18:00,2017-05-10 10:54:00,24.06
2017-05-10 15:43:00,2017-05-10 16:46:00,24.71
2017-05-11 12:28:00,2017-05-11 13:07:00,21.75
2017-05-11 18:00:00,2017-05-11 18:31:00,19.3
2017-05-12 08:26:00,2017-05-12 08:55:00,20.46
2017-05-12 13:00:00,2017-05-12 13:34:00,14.6
2017-05-13 08:44:00,2017-05-13 08:46:00,0.38
2017-05-13 08:57:00,2017-05-13 09:01:00,0.33
2017-05-13 14:22:00,2017-05-13 14:41:00,6.86
2017-05-13 15:17:00,2017-05-13 15:35:00,5.2
2017-05-13 18:10:00,2017-05-13 18:21:00,1.91
2017-05-14 11:22:00,2017-05-14 11:26:00,0.9
2017-05-14 11:36:00,2017-05-14 11:38:00,0.39
2017-05-14 14:56:00,2017-05-14 15:59:00,40.07
2017-05-14 16:34:00,2017-05-14 16:41:00,1.49
2017-05-14 16:56:00,2017-05-14 17:04:00,1.45
2017-05-14 19:05:00,2017-05-14 20:06:00,39.21
2017-05-15 11:24:00,2017-05-15 11:33:00,1.91
2017-05-15 11:41:00,2017-05-15 12:13:00,19.84
2017-05-15 17:41:00,2017-05-15 18:11:00,16
2017-05-15 18:15:00,2017-05-15 19:23:00,31.52
2017-05-15 23:41:00,2017-05-16 00:26:00,39.32
2017-05-16 09:49:00,2017-05-16 11:02:00,24.91
2017-05-16 16:08:00,2017-05-16 16:32:00,3.37
2017-05-16 17:11:00,2017-05-16 17:32:00,4.8
2017-05-16 17:42:00,2017-05-16 17:56:00,1.81
2017-05-16 18:13:00,2017-05-16 18:46:00,24.85
2017-05-16 21:07:00,2017-05-16 21:10:00,1.04
2017-05-16 21:26:00,2017-05-16 21:29:00,1.02
2017-07-28 16:10:00,2017-07-28 16:17:00,2.22
2017-07-28 16:17:00,2017-07-28 16:42:00,7.84
2017-08-10 12:00:00,2017-08-10 12:44:00,24.05
2017-08-10 14:56:00,2017-08-10 15:10:00,1.61
2017-08-10 18:51:00,2017-08-10 19:21:00,24.85
2017-08-10 19:46:00,2017-08-10 19:56:00,1.14
2017-08-10 20:08:00,2017-08-10 20:12:00,1.09
2017-08-11 12:44:00,2017-08-11 12:49:00,0.82
2017-08-11 12:59:00,2017-08-11 13:01:00,0.56
2017-08-11 13:18:00,2017-08-11 15:12:00,1.79
2017-08-11 15:14:00,2017-08-11 16:53:00,34.6
2017-08-11 19:27:00,2017-08-11 20:34:00,34.91
2017-08-12 13:52:00,2017-08-12 13:56:00,1.05
2017-08-12 13:59:00,2017-08-12 14:02:00,0.28
2017-08-12 14:10:00,2017-08-12 14:30:00,1.22
2017-08-12 17:15:00,2017-08-12 17:36:00,11.37
2017-08-12 20:49:00,2017-08-12 21:05:00,10.43
2017-08-13 12:16:00,2017-08-13 12:44:00,12.96
2017-08-13 16:03:00,2017-08-13 16:32:00,14.33
2017-08-13 18:19:00,2017-08-13 18:42:00,9.32
2017-08-13 18:52:00,2017-08-13 19:05:00,3.99
2017-08-13 21:42:00,2017-08-13 21:53:00,5.6
2017-08-14 08:50:00,2017-08-14 09:45:00,24.1
2017-08-14 13:22:00,2017-08-14 13:54:00,24.84
2017-08-14 14:02:00,2017-08-14 15:34:00,36.92
2017-08-14 15:58:00,2017-08-14 17:17:00,35.7
2017-08-14 17:35:00,2017-08-14 17:45:00,1.99
2017-08-14 18:07:00,2017-08-14 18:27:00,9.92
2017-08-15 10:15:00,2017-08-15 10:51:00,25
2017-08-15 19:23:00,2017-08-15 19:29:00,0.4
2017-08-15 19:51:00,2017-08-15 20:45:00,24.39
2017-08-15 20:56:00,2017-08-15 21:04:00,2.78
2017-08-15 21:09:00,2017-08-15 21:37:00,19.22
2017-08-16 00:03:00,2017-08-16 00:27:00,15.51
2017-08-16 00:36:00,2017-08-16 00:41:00,1.23
2017-08-16 00:46:00,2017-08-16 01:18:00,11.35
2017-08-16 09:38:00,2017-08-16 09:41:00,1.21
2017-08-16 09:41:00,2017-08-16 09:43:00,0.08
2017-08-16 09:47:00,2017-08-16 10:32:00,22.89
2017-08-16 16:51:00,2017-08-16 17:11:00,3.14
2017-08-16 17:12:00,2017-08-16 17:25:00,2.76
2017-08-16 17:41:00,2017-08-16 18:36:00,24.78
2017-08-17 09:34:00,2017-08-17 10:13:00,24.03
