trip_start,trip_stop,dist
2017-08-17 12:32:00,2017-08-17 13:07:00,24.82
2017-08-17 13:35:00,2017-08-17 13:40:00,0.4
2017-08-17 13:47:00,2017-08-17 15:07:00,36.06
2017-08-17 15:18:00,2017-08-17 15:24:00,0.06
2017-08-17 16:03:00,2017-08-17 18:05:00,35.16
2017-08-18 09:47:00,2017-08-18 10:23:00,24.47
2017-08-18 16:04:00,2017-08-18 16:42:00,1.63
2017-08-18 17:56:00,2017-08-18 18:25:00,10.74
2017-08-18 18:27:00,2017-08-18 18:48:00,1.85
2017-08-19 00:07:00,2017-08-19 00:41:00,18.92
2017-08-19 00:52:00,2017-08-19 00:55:00,0.99
2017-08-19 11:52:00,2017-08-19 12:14:00,7.56
2017-08-19 15:57:00,2017-08-19 16:12:00,4.02
2017-08-19 16:37:00,2017-08-19 16:56:00,5.32
2017-08-19 23:32:00,2017-08-19 23:50:00,7.54
2017-08-19 23:51:00,2017-08-20 00:17:00,9.59
2017-08-20 09:03:00,2017-08-20 09:16:00,5.22
2017-08-20 19:17:00,2017-08-20 19:32:00,4.69
2017-08-21 09:24:00,2017-08-21 09:40:00,2.31
2017-08-21 10:59:00,2017-08-21 11:02:00,0.47
2017-08-21 13:40:00,2017-08-21 15:29:00,36.09
2017-08-21 15:54:00,2017-08-21 16:48:00,2.24
2017-08-21 16:57:00,2017-08-21 18:15:00,32.3
2017-08-22 08:38:00,2017-08-22 09:06:00,0.65
2017-08-22 09:18:00,2017-08-22 09:19:00,0.04
2017-08-22 09:22:00,2017-08-22 10:05:00,23.49
2017-08-22 14:30:00,2017-08-22 15:02:00,1.7
2017-08-22 16:37:00,2017-08-22 17:41:00,24.8
2017-08-23 17:16:00,2017-08-23 18:14:00,24.01
2017-08-23 18:27:00,2017-08-23 18:32:00,1.05
2017-08-23 19:24:00,2017-08-23 20:04:00,18.14
2017-08-23 22:01:00,2017-08-23 22:28:00,16.33
2017-08-23 22:46:00,2017-08-23 22:50:00,1.04
2017-08-24 09:41:00,2017-08-24 09:44:00,0.02
2017-08-24 09:59:00,2017-08-24 10:00:00,0.02
2017-08-24 13:57:00,2017-08-24 15:33:00,42.51
2017-08-24 16:43:00,2017-08-24 17:00:00,0.07
2017-08-24 17:06:00,2017-08-24 17:33:00,10.01
2017-08-24 18:12:00,2017-08-24 19:03:00,27.67
2017-08-25 09:36:00,2017-08-25 09:55:00,2.63
2017-08-25 10:01:00,2017-08-25 10:32:00,20.92
2017-08-25 20:40:00,2017-08-25 21:45:00,17.41
2017-08-25 21:49:00,2017-08-25 22:14:00,16.02
2017-08-26 00:10:00,2017-08-26 02:14:00,29.77
2017-08-26 16:31:00,2017-08-26 16:55:00,7.15
2017-08-26 17:54:00,2017-08-26 18:19:00,10
2017-08-26 20:07:00,2017-08-26 20:08:00,0.19
2017-08-26 20:08:00,2017-08-26 20:11:00,1.35
2017-08-27 12:39:00,2017-08-27 12:54:00,1
2017-08-27 12:55:00,2017-08-27 13:48:00,9.29
2017-08-27 14:00:00,2017-08-27 14:34:00,3.86
2017-08-27 15:56:00,2017-08-27 16:37:00,10.45
2017-08-27 16:44:00,2017-08-27 16:51:00,1.8
2017-08-27 16:55:00,2017-08-27 17:00:00,0.68
2017-08-27 17:04:00,2017-08-27 17:19:00,4.96
2017-08-27 17:28:00,2017-08-27 17:39:00,2.33
2017-08-27 17:47:00,2017-08-27 18:58:00,24.19
2017-08-27 22:17:00,2017-08-27 22:41:00,16.24
2017-08-28 00:33:00,2017-08-28 01:22:00,13.62
2017-08-28 12:48:00,2017-08-28 12:51:00,0.47
2017-08-28 14:01:00,2017-08-28 14:03:00,0.4
2017-08-28 14:12:00,2017-08-28 15:31:00,34.86
2017-08-28 15:56:00,2017-08-28 17:04:00,34.47
2017-08-28 22:15:00,2017-08-28 22:38:00,18.57
2017-08-29 01:42:00,2017-08-29 02:05:00,18.88
2017-08-29 11:40:00,2017-08-29 11:44:00,1.04
2017-08-29 11:48:00,2017-08-29 12:09:00,0.03
2017-08-29 12:18:00,2017-08-29 12:21:00,0.03
2017-08-29 12:26:00,2017-08-29 12:32:00,1.05
2017-08-29 12:35:00,2017-08-29 13:15:00,24.05
2017-08-29 19:40:00,2017-08-29 19:42:00,0.35
2017-08-29 19:50:00,2017-08-29 20:19:00,27.72
2017-08-29 20:25:00,2017-08-29 20:41:00,10.42
2017-08-30 10:00:00,2017-08-30 10:47:00,24.25
2017-08-30 14:31:00,2017-08-30 14:56:00,1.68
2017-08-30 17:19:00,2017-08-30 17:43:00,0.04
2017-08-30 17:43:00,2017-08-30 17:50:00,0.29
2017-08-30 17:56:00,2017-08-30 18:40:00,16.85
2017-08-30 22:57:00,2017-08-30 23:35:00,17.31
2017-08-31 11:30:00,2017-08-31 11:41:00,0.43
2017-08-31 14:04:00,2017-08-31 14:06:00,0.41
2017-08-31 14:24:00,2017-08-31 14:26:00,0.68
2017-08-31 14:31:00,2017-08-31 15:42:00,34.88
2017-08-31 16:01:00,2017-08-31 17:07:00,30.45
2017-08-31 20:54:00,2017-08-31 21:21:00,19.6
2017-09-01 10:30:00,2017-09-01 10:59:00,17.63
2017-09-01 14:07:00,2017-09-01 15:07:00,27.45
2017-09-01 17:17:00,2017-09-01 17:36:00,1.93
2017-09-01 18:16:00,2017-09-01 19:19:00,20.58
2017-09-01 19:25:00,2017-09-01 19:38:00,4.8
2017-09-01 21:30:00,2017-09-01 21:54:00,1.94
2017-09-02 15:46:00,2017-09-02 16:06:00,0.99
2017-09-02 16:13:00,2017-09-02 16:16:00,1.01
2017-09-02 16:56:00,2017-09-02 16:59:00,0.42
2017-09-02 17:04:00,2017-09-02 17:06:00,0.4
2017-09-02 22:52:00,2017-09-02 22:54:00,0.07
2017-09-02 22:55:00,2017-09-02 23:15:00,18.62
2017-09-03 01:46:00,2017-09-03 02:10:00,18.9
2017-09-03 14:49:00,2017-09-03 15:04:00,3.14
2017-09-03 15:50:00,2017-09-03 16:07:00,10.17
2017-09-03 16:21:00,2017-09-03 16:38:00,7.79
2017-09-03 16:47:00,2017-09-03 16:52:00,1.11
2017-09-03 18:32:00,2017-09-03 18:37:00,1.2
2017-09-03 18:37:00,2017-09-03 18:44:00,0.91
2017-09-04 15:50:00,2017-09-04 15:54:00,0.42
2017-09-04 15:59:00,2017-09-04 16:11:00,2.3
2017-09-04 16:21:00,2017-09-04 16:43:00,8.31
2017-09-04 17:05:00,2017-09-04 17:15:00,2.54
2017-09-04 17:26:00,2017-09-04 17:41:00,4.52
2017-09-04 17:49:00,2017-09-04 18:25:00,29.55
2017-09-04 19:36:00,2017-09-04 19:51:00,0.93
2017-09-04 19:54:00,2017-09-04 19:59:00,0.5
2017-09-04 21:21:00,2017-09-04 21:55:00,29.37
2017-09-05 11:08:00,2017-09-05 11:51:00,35.5
2017-09-05 12:36:00,2017-09-05 13:07:00,2.29
2017-09-05 13:19:00,2017-09-05 13:22:00,0.51
2017-09-05 13:26:00,2017-09-05 14:03:00,33.09
2017-09-05 14:13:00,2017-09-05 15:01:00,24.03
2017-09-05 17:33:00,2017-09-05 18:11:00,14.55
2017-09-05 19:01:00,2017-09-05 19:19:00,11.31
2017-09-06 09:21:00,2017-09-06 09:39:00,7.73
2017-09-06 10:14:00,2017-09-06 10:30:00,7.75
2017-09-06 10:37:00,2017-09-06 11:13:00,24.13
2017-09-06 16:48:00,2017-09-06 17:35:00,25.3
2017-09-06 17:49:00,2017-09-06 17:55:00,0.18
2017-09-06 17:58:00,2017-09-06 18:00:00,0.39
2017-09-06 18:38:00,2017-09-06 19:04:00,15.93
2017-09-06 23:45:00,2017-09-07 00:14:00,19.45
2017-09-07 00:26:00,2017-09-07 00:30:00,1.01
2017-09-07 10:42:00,2017-09-07 11:35:00,31.74
2017-09-07 14:04:00,2017-09-07 14:39:00,27.38
2017-09-07 14:43:00,2017-09-07 14:52:00,3.06
2017-09-07 14:54:00,2017-09-07 16:00:00,32.96
2017-09-07 16:32:00,2017-09-07 16:33:00,0.07
2017-09-07 16:38:00,2017-09-07 17:04:00,2.31
2017-09-07 17:23:00,2017-09-07 18:14:00,33.03
2017-09-08 10:02:00,2017-09-08 10:30:00,19.73
2017-09-08 18:09:00,2017-09-08 18:37:00,18.97
2017-09-08 19:04:00,2017-09-08 19:18:00,1.87
2017-09-09 02:25:00,2017-09-09 02:28:00,1.1
2017-09-09 02:33:00,2017-09-09 02:35:00,1.05
2017-09-10 17:09:00,2017-09-10 17:44:00,14.25
2017-09-10 22:50:00,2017-09-10 22:53:00,0.25
2017-09-10 22:56:00,2017-09-10 22:57:00,0.02
2017-09-10 23:00:00,2017-09-10 23:23:00,16.18
2017-09-11 00:01:00,2017-09-11 00:19:00,1.83
2017-09-11 09:59:00,2017-09-11 10:06:00,1.91
2017-09-11 10:12:00,2017-09-11 10:51:00,27.49
2017-09-11 13:39:00,2017-09-11 14:13:00,27.23
2017-09-11 14:31:00,2017-09-11 15:31:00,35.45
2017-09-11 16:03:00,2017-09-11 17:09:00,36.01
2017-09-11 17:39:00,2017-09-11 18:01:00,9.88
2017-09-11 23:01:00,2017-09-11 23:05:00,1.14
2017-09-11 23:16:00,2017-09-11 23:30:00,5.93
2017-09-11 23:30:00,2017-09-11 23:54:00,4.94
2017-09-12 02:56:00,2017-09-12 04:00:00,25.87
2017-09-12 10:06:00,2017-09-12 10:46:00,24.84
2017-09-12 16:33:00,2017-09-12 17:20:00,22.43
2017-09-12 19:38:00,2017-09-12 20:14:00,21.79
2017-09-13 06:24:00,2017-09-13 06:59:00,25.84
2017-09-13 07:02:00,2017-09-13 07:14:00,5.77
2017-09-13 11:14:00,2017-09-13 11:36:00,16.26
2017-09-13 16:01:00,2017-09-13 16:57:00,24.79
2017-09-13 17:07:00,2017-09-13 17:48:00,15.94
2017-09-13 23:13:00,2017-09-13 23:35:00,16.73
2017-09-14 12:00:00,2017-09-14 12:27:00,19.71
2017-09-14 12:28:00,2017-09-14 12:30:00,0.18
2017-09-14 14:36:00,2017-09-14 15:06:00,14.98
2017-09-14 15:11:00,2017-09-14 15:17:00,2.99
2017-09-14 15:26:00,2017-09-14 16:44:00,37.48
2017-09-14 17:03:00,2017-09-14 18:17:00,34.18
2017-09-14 18:32:00,2017-09-14 18:41:00,3.03
2017-09-15 10:25:00,2017-09-15 10:26:00,0.05
2017-09-15 10:45:00,2017-09-15 10:48:00,0.29
2017-09-15 10:59:00,2017-09-15 11:05:00,0.3
2017-09-15 11:09:00,2017-09-15 11:36:00,10.82
2017-09-15 13:00:00,2017-09-15 13:17:00,8.37
2017-09-15 13:36:00,2017-09-15 14:30:00,25.19
2017-09-15 14:37:00,2017-09-15 15:01:00,0.45
2017-09-15 15:04:00,2017-09-15 16:59:00,85.51
2017-09-15 17:06:00,2017-09-15 18:57:00,129.72
2017-09-15 19:03:00,2017-09-15 20:02:00,60.96
2017-09-16 10:18:00,2017-09-16 10:39:00,16.04
2017-09-16 11:52:00,2017-09-16 12:12:00,16.68
2017-09-16 12:28:00,2017-09-16 13:29:00,49
2017-09-16 18:36:00,2017-09-16 19:30:00,45.7
2017-09-16 19:39:00,2017-09-16 19:47:00,2.1
2017-09-17 13:32:00,2017-09-17 13:41:00,2.24
2017-09-17 14:19:00,2017-09-17 14:48:00,14.68
2017-09-17 18:25:00,2017-09-17 18:26:00,0.05
2017-09-17 18:36:00,2017-09-17 19:03:00,12.26
2017-09-18 07:52:00,2017-09-18 08:03:00,2.04
2017-09-18 08:21:00,2017-09-18 08:56:00,37.94
2017-09-18 09:01:00,2017-09-18 09:53:00,65.7
2017-09-18 10:04:00,2017-09-18 10:34:00,39.43
2017-09-18 10:46:00,2017-09-18 11:07:00,14.25
2017-09-18 11:19:00,2017-09-18 13:29:00,138.98
2017-09-18 14:24:00,2017-09-18 14:26:00,0.04
2017-09-18 14:28:00,2017-09-18 15:23:00,35.52
2017-09-18 15:53:00,2017-09-18 17:49:00,36.64
2017-09-19 09:24:00,2017-09-19 10:22:00,24.37
2017-09-19 15:55:00,2017-09-19 16:53:00,15.87
2017-09-19 16:53:00,2017-09-19 17:20:00,0.85
2017-09-19 17:33:00,2017-09-19 18:06:00,10.95
2017-09-19 18:10:00,2017-09-19 18:34:00,8.41
2017-09-19 21:06:00,2017-09-19 21:10:00,1.24
2017-09-19 21:17:00,2017-09-19 21:21:00,1.05
2017-09-20 11:12:00,2017-09-20 11:16:00,1.22
2017-09-20 11:18:00,2017-09-20 11:59:00,24.15
2017-09-20 17:20:00,2017-09-20 18:07:00,24.15
2017-09-20 18:50:00,2017-09-20 19:17:00,16.02
2017-09-20 22:05:00,2017-09-20 22:32:00,17.5
2017-09-21 13:38:00,2017-09-21 13:44:00,0.72
2017-09-21 13:50:00,2017-09-21 15:26:00,35.81
2017-09-21 15:59:00,2017-09-21 16:15:00,8.26
2017-09-21 16:19:00,2017-09-21 17:32:00,28.1
2017-09-21 18:49:00,2017-09-21 19:25:00,16.05
2017-09-21 22:30:00,2017-09-21 22:59:00,16.97
2017-09-22 10:19:00,2017-09-22 10:21:00,0.43
2017-09-22 10:25:00,2017-09-22 10:26:00,0.4
2017-09-22 10:30:00,2017-09-22 10:54:00,19.15
2017-09-22 11:58:00,2017-09-22 12:02:00,1.05
2017-09-22 18:32:00,2017-09-22 18:59:00,20.95
2017-09-23 08:34:00,2017-09-23 08:51:00,1.15
2017-09-23 09:19:00,2017-09-23 10:31:00,37.57
2017-09-23 11:09:00,2017-09-23 11:23:00,5.67
2017-09-23 11:51:00,2017-09-23 12:15:00,4.64
2017-09-23 12:47:00,2017-09-23 13:40:00,8.45
2017-09-23 13:56:00,2017-09-23 15:08:00,34.62
2017-09-23 15:37:00,2017-09-23 16:07:00,1.56
2017-09-24 14:59:00,2017-09-24 15:02:00,0.43
2017-09-24 15:14:00,2017-09-24 17:09:00,6.6
2017-09-24 17:37:00,2017-09-24 18:01:00,7.05
2017-09-24 18:05:00,2017-09-24 18:07:00,0.41
2017-09-24 19:35:00,2017-09-24 20:31:00,25.28
2017-09-25 00:24:00,2017-09-25 00:26:00,0.42
2017-09-25 00:30:00,2017-09-25 01:10:00,23.13
2017-09-25 12:12:00,2017-09-25 12:38:00,19.45
2017-09-25 14:22:00,2017-09-25 14:50:00,19.86
2017-09-25 14:52:00,2017-09-25 15:54:00,35.53
2017-09-25 16:37:00,2017-09-25 18:17:00,34.54
2017-09-25 20:36:00,2017-09-25 21:08:00,28.91
2017-09-26 01:46:00,2017-09-26 02:21:00,26.32
2017-09-26 09:36:00,2017-09-26 10:18:00,24.02
2017-09-26 14:05:00,2017-09-26 14:39:00,25.3
2017-09-26 15:49:00,2017-09-26 15:58:00,1.53
2017-09-26 16:15:00,2017-09-26 16:22:00,1.1
2017-09-27 09:15:00,2017-09-27 10:16:00,24.76
2017-09-27 16:26:00,2017-09-27 17:49:00,35.87
2017-09-27 17:58:00,2017-09-27 18:46:00,27.64
2017-09-27 18:51:00,2017-09-27 18:59:00,2.08
2017-09-27 19:10:00,2017-09-27 20:17:00,21.17
2017-09-27 20:25:00,2017-09-27 21:56:00,3.6
2017-09-27 22:04:00,2017-09-27 22:32:00,16.56
2017-09-28 06:46:00,2017-09-28 07:19:00,14.4
2017-09-28 09:05:00,2017-09-28 09:29:00,8.06
2017-09-28 10:41:00,2017-09-28 11:21:00,22.34
2017-09-28 14:26:00,2017-09-28 16:05:00,35.57
2017-09-28 16:09:00,2017-09-28 16:21:00,1.17
2017-09-28 20:37:00,2017-09-28 20:40:00,1.1
2017-09-28 20:56:00,2017-09-28 21:00:00,1.15
2017-09-29 09:32:00,2017-09-29 10:02:00,19.73